Rank,CCA3,Country,2022 Population,2020 Population,2015 Population,Area (km),Density (per km),Growth Rate,World Population Percentage
175,BRN,Brunei,449002,441725,421437,5765,77.8841,1.0081,0.01
108,BGR,Bulgaria,6781953,6979175,7309253,110879,61.1654,0.9849,0.09
58,BFA,Burkina Faso,22673762,21522626,18718019,272967,83.0641,1.0259,0.28
78,BDI,Burundi,12889576,12220227,10727148,27834,463.0874,1.027,0.16
73,KHM,Cambodia,16767842,16396860,15417523,181035,92.6221,1.0108,0.21
53,CMR,Cameroon,27914536,26491087,23012646,475442,58.7128,1.0263,0.35
39,CAN,Canada,38454327,37888705,35732126,9984670,3.8513,1.0078,0.48
171,CPV,Cape Verde,593149,582640,552166,4033,147.0739,1.0089,0.01
205,CYM,Cayman Islands,68706,67311,60911,264,260.25,1.0084,0
117,CAF,Central African Republic,5579144,5343020,4819333,622984,8.9555,1.0224,0.07
69,TCD,Chad,17723315,16644701,14140274,1284000,13.8032,1.0316,0.22
65,CHL,Chile,19603733,19300315,17870124,756102,25.9274,1.0057,0.25
1,CHN,China,1425887337,1424929781,1393715448,9706961,146.8933,1,17.88
28,COL,Colombia,51874024,50930662,47119728,1141748,45.4339,1.0069,0.65
163,COM,Comoros,836774,806166,730216,1862,449.3953,1.0184,0.01
223,COK,Cook Islands,17011,17029,17695,236,72.0805,1.0005,0
124,CRI,Costa Rica,5180829,5123105,4895242,51100,101.3861,1.0052,0.06
130,HRV,Croatia,4030358,4096868,4254815,56594,71.2153,0.9927,0.05
85,CUB,Cuba,11212191,11300698,11339894,109884,102.0366,0.9961,0.14
189,CUW,Curacao,191163,189288,169572,444,430.5473,1.0043,0
158,CYP,Cyprus,1251488,1237537,1187280,9251,135.2814,1.0059,0.02
88,CZE,Czech Republic,10493986,10530953,10523798,78865,133.0627,0.9984,0.13
115,DNK,Denmark,5882261,5825641,5677796,43094,136.4984,1.0048,0.07
160,DJI,Djibouti,1120849,1090156,1006259,23200,48.3125,1.0138,0.01
204,DMA,Dominica,72737,71995,70007,751,96.8535,1.0045,0
84,DOM,Dominican Republic,11228821,10999664,10405832,48671,230.7087,1.01,0.14
15,COD,DR Congo,99010212,92853164,78656904,2344858,42.2244,1.0325,1.24
67,ECU,Ecuador,18001000,17588595,16195902,276841,65.0229,1.0114,0.23
14,EGY,Egypt,110990103,107465134,97723799,1002450,110.7188,1.0158,1.39
112,SLV,El Salvador,6336392,6292731,6231066,21041,301.145,1.0035,0.08
152,GNQ,Equatorial Guinea,1674908,1596049,1346973,28051,59.7094,1.0247,0.02
132,ERI,Eritrea,3684032,3555868,3340006,117600,31.3268,1.0176,0.05
156,EST,Estonia,1326062,1329444,1314657,45227,29.3201,0.998,0.02
159,SWZ,Eswatini,1201670,1180655,1133936,17364,69.2047,1.0079,0.02
12,ETH,Ethiopia,123379924,117190911,102471895,1104300,111.7268,1.0257,1.55
231,FLK,Falkland Islands,3780,3747,3408,12173,0.3105,1.0043,0
209,FRO,Faroe Islands,53090,52415,48816,1393,38.112,1.0038,0
162,FJI,Fiji,929766,920422,917200,18272,50.8847,1.0056,0.01
118,FIN,Finland,5540745,5529468,5479461,338424,16.3722,1.0009,0.07
23,FRA,France,64626628,64480053,63809769,551695,117.1419,1.0015,0.81
184,GUF,French Guiana,304557,290969,257026,83534,3.6459,1.0239,0
183,PYF,French Polynesia,306279,301920,291787,4167,73.5011,1.0074,0
146,GAB,Gabon,2388992,2292573,2028517,267668,8.9252,1.0204,0.03
142,GMB,Gambia,2705992,2573995,2253133,10689,253.1567,1.025,0.03
131,GEO,Georgia,3744385,3765912,3771132,69700,53.7214,0.9964,0.05
19,DEU,Germany,83369843,83328988,82073226,357114,233.4544,0.9995,1.05
47,GHA,Ghana,33475870,32180401,28870939,238533,140.3406,1.0196,0.42
219,GIB,Gibraltar,32649,32709,32520,6,5441.5,0.9994,0
90,GRC,Greece,10384971,10512232,10806641,131990,78.68,0.9942,0.13
208,GRL,Greenland,56466,56026,55895,2166086,0.0261,1.004,0
193,GRD,Grenada,125438,123663,118980,344,364.6453,1.0066,0
178,GLP,Guadeloupe,395752,395642,399089,1628,243.0909,0.9992,0
191,GUM,Guam,171774,169231,167978,549,312.8852,1.0073,0
68,GTM,Guatemala,17843908,17362718,16001107,108889,163.8725,1.0134,0.22
207,GGY,Guernsey,63301,62794,61629,78,811.5513,1.0037,0
75,GIN,Guinea,13859341,13205153,11625998,245857,56.3716,1.0242,0.17
149,GNB,Guinea-Bissau,2105566,2015828,1788919,36125,58.2856,1.0218,0.03
